protein1 protein2 combined_score
1336234.JAGN01000001_gene1155 1336234.JAGN01000024_gene726 362
1336234.JAGN01000001_gene1155 1336234.JAGN01000005_gene1473 195
1336234.JAGN01000001_gene1155 1336234.JAGN01000019_gene28 167
1336234.JAGN01000001_gene1155 1336234.JAGN01000001_gene1166 185
1336234.JAGN01000001_gene1158 1336234.JAGN01000005_gene1486 962
1336234.JAGN01000001_gene1158 1336234.JAGN01000008_gene1432 810
1336234.JAGN01000001_gene1158 1336234.JAGN01000042_gene476 223
1336234.JAGN01000001_gene1158 1336234.JAGN01000005_gene1462 323
1336234.JAGN01000001_gene1158 1336234.JAGN01000024_gene717 223
1336234.JAGN01000001_gene1158 1336234.JAGN01000006_gene412 791
1336234.JAGN01000001_gene1158 1336234.JAGN01000012_gene679 236
1336234.JAGN01000001_gene1159 1336234.JAGN01000007_gene1549 212
1336234.JAGN01000001_gene1159 1336234.JAGN01000005_gene1446 212
1336234.JAGN01000001_gene1159 1336234.JAGN01000015_gene169 188
1336234.JAGN01000001_gene1159 1336234.JAGN01000020_gene886 206
1336234.JAGN01000001_gene1159 1336234.JAGN01000001_gene1160 700
1336234.JAGN01000001_gene1159 1336234.JAGN01000019_gene42 197
1336234.JAGN01000001_gene1159 1336234.JAGN01000001_gene1165 684
1336234.JAGN01000001_gene1159 1336234.JAGN01000015_gene167 185
1336234.JAGN01000001_gene1159 1336234.JAGN01000001_gene1242 319
1336234.JAGN01000001_gene1159 1336234.JAGN01000018_gene18 181
1336234.JAGN01000001_gene1159 1336234.JAGN01000007_gene1545 961
1336234.JAGN01000001_gene1159 1336234.JAGN01000014_gene129 197
1336234.JAGN01000001_gene1159 1336234.JAGN01000029_gene244 222
1336234.JAGN01000001_gene1160 1336234.JAGN01000029_gene243 279
1336234.JAGN01000001_gene1160 1336234.JAGN01000001_gene1159 700
1336234.JAGN01000001_gene1161 1336234.JAGN01000005_gene1462 212
1336234.JAGN01000001_gene1162 1336234.JAGN01000028_gene320 190
1336234.JAGN01000001_gene1162 1336234.JAGN01000028_gene319 190
1336234.JAGN01000001_gene1162 1336234.JAGN01000022_gene1371 190
1336234.JAGN01000001_gene1162 1336234.JAGN01000005_gene1480 230
1336234.JAGN01000001_gene1162 1336234.JAGN01000024_gene727 190
1336234.JAGN01000001_gene1162 1336234.JAGN01000047_gene968 195
1336234.JAGN01000001_gene1162 1336234.JAGN01000023_gene829 183
1336234.JAGN01000001_gene1162 1336234.JAGN01000034_gene951 169
1336234.JAGN01000001_gene1162 1336234.JAGN01000038_gene382 169
1336234.JAGN01000001_gene1162 1336234.JAGN01000049_gene1064 190
1336234.JAGN01000001_gene1163 1336234.JAGN01000001_gene1192 165
1336234.JAGN01000001_gene1163 1336234.JAGN01000001_gene1232 165
1336234.JAGN01000001_gene1163 1336234.JAGN01000028_gene320 190
1336234.JAGN01000001_gene1163 1336234.JAGN01000021_gene793 203
1336234.JAGN01000001_gene1163 1336234.JAGN01000009_gene1315 241
1336234.JAGN01000001_gene1163 1336234.JAGN01000041_gene1341 165
1336234.JAGN01000001_gene1163 1336234.JAGN01000015_gene157 175
1336234.JAGN01000001_gene1163 1336234.JAGN01000003_gene1083 175
1336234.JAGN01000001_gene1163 1336234.JAGN01000017_gene93 175
1336234.JAGN01000001_gene1163 1336234.JAGN01000006_gene432 165
1336234.JAGN01000001_gene1163 1336234.JAGN01000072_gene637 234
1336234.JAGN01000001_gene1163 1336234.JAGN01000020_gene889 239
1336234.JAGN01000001_gene1163 1336234.JAGN01000021_gene810 525
1336234.JAGN01000001_gene1164 1336234.JAGN01000020_gene890 173
1336234.JAGN01000001_gene1164 1336234.JAGN01000007_gene1561 165
1336234.JAGN01000001_gene1164 1336234.JAGN01000002_gene1020 159
1336234.JAGN01000001_gene1164 1336234.JAGN01000001_gene1232 183
1336234.JAGN01000001_gene1165 1336234.JAGN01000029_gene243 250
1336234.JAGN01000001_gene1165 1336234.JAGN01000012_gene668 728
1336234.JAGN01000001_gene1165 1336234.JAGN01000001_gene1159 684
1336234.JAGN01000001_gene1165 1336234.JAGN01000045_gene1275 167
1336234.JAGN01000001_gene1166 1336234.JAGN01000003_gene1075 383
1336234.JAGN01000001_gene1166 1336234.JAGN01000039_gene407 181
1336234.JAGN01000001_gene1166 1336234.JAGN01000036_gene918 258
